experiment	run	organism	tissue	description	assayId	assayName	platform	readLength	readsfile1Url	readsFile1	readsFile1S3Url	md5sum1	readsfile2Url	readsFile2	readsFile2S3Url	md5sum2
ENCSR825GWD	ENCFF578DJO_ENCFF957ZZN	human	sigmoid colon		OBI:0002571	polyA plus RNA-seq	Illumina HiSeq 2000	100	https://www.encodeproject.org/files/ENCFF578DJO/@@download/ENCFF578DJO.fastq.gz	ENCFF578DJO.fastq.gz	s3://encode-public/2017/04/26/6cff467b-88cc-42b7-9e37-82ffff34241a/ENCFF578DJO.fastq.gz	66b7bf4e044879db59f06193a0bcb1a3	https://www.encodeproject.org/files/ENCFF957ZZN/@@download/ENCFF957ZZN.fastq.gz	ENCFF957ZZN.fastq.gz	s3://encode-public/2017/05/02/ad583a8d-3df5-4ae0-b70a-cba65be032f9/ENCFF957ZZN.fastq.gz	60f361ff0f8bc2a94c912c098a45ec6f
ENCSR825GWD	ENCFF255FLP_ENCFF225BAW	human	sigmoid colon		OBI:0002571	polyA plus RNA-seq	Illumina HiSeq 2000	100	https://www.encodeproject.org/files/ENCFF255FLP/@@download/ENCFF255FLP.fastq.gz	ENCFF255FLP.fastq.gz	s3://encode-public/2017/04/26/0c882f80-b907-46f0-b59d-d606fd2bcea6/ENCFF255FLP.fastq.gz	e7423f16ee8463a2eab3a4e7359db90c	https://www.encodeproject.org/files/ENCFF225BAW/@@download/ENCFF225BAW.fastq.gz	ENCFF225BAW.fastq.gz	s3://encode-public/2017/05/02/dfe113f7-eee2-4551-9fa8-72c07fc93763/ENCFF225BAW.fastq.gz	ecdc738cada687f05fcb881cdd28d386
ENCSR825GWD	ENCFF305UQC_ENCFF376MMQ	human	sigmoid colon		OBI:0002571	polyA plus RNA-seq	Illumina HiSeq 2000	100	https://www.encodeproject.org/files/ENCFF305UQC/@@download/ENCFF305UQC.fastq.gz	ENCFF305UQC.fastq.gz	s3://encode-public/2017/04/26/1145ecd0-c901-4efd-8826-d37fce105cc9/ENCFF305UQC.fastq.gz	f9ee14fbc2ae1f77f54feb28c39bff8a	https://www.encodeproject.org/files/ENCFF376MMQ/@@download/ENCFF376MMQ.fastq.gz	ENCFF376MMQ.fastq.gz	s3://encode-public/2017/05/02/7d662b84-4a9f-4f7b-87dc-fa40131e5a26/ENCFF376MMQ.fastq.gz	a65e43f4c86eae98978ac59909f33372
ENCSR825GWD	ENCFF582KPC_ENCFF905FKH	human	sigmoid colon		OBI:0002571	polyA plus RNA-seq	Illumina HiSeq 2000	100	https://www.encodeproject.org/files/ENCFF582KPC/@@download/ENCFF582KPC.fastq.gz	ENCFF582KPC.fastq.gz	s3://encode-public/2017/04/26/24ffc483-7ec2-437f-b705-06d18e3f65ed/ENCFF582KPC.fastq.gz	5688c38167d579dcd3b8f7040c9c050b	https://www.encodeproject.org/files/ENCFF905FKH/@@download/ENCFF905FKH.fastq.gz	ENCFF905FKH.fastq.gz	s3://encode-public/2017/05/02/8416cbad-7fcd-4f4f-b676-28a801c7eafe/ENCFF905FKH.fastq.gz	0b309c9fb5a9df4376197ab130e9c797
ENCSR825GWD	ENCFF519GNR_ENCFF106JEJ	human	sigmoid colon		OBI:0002571	polyA plus RNA-seq	Illumina HiSeq 2000	100	https://www.encodeproject.org/files/ENCFF519GNR/@@download/ENCFF519GNR.fastq.gz	ENCFF519GNR.fastq.gz	s3://encode-public/2017/04/26/a5c7c93c-0407-48d8-a01b-b912c235d6f9/ENCFF519GNR.fastq.gz	d1360517587b2be0eacc7f30c566780d	https://www.encodeproject.org/files/ENCFF106JEJ/@@download/ENCFF106JEJ.fastq.gz	ENCFF106JEJ.fastq.gz	s3://encode-public/2017/05/02/aaa6e703-d492-4ffd-90ba-c5906a5741e3/ENCFF106JEJ.fastq.gz	bc0f7996207d985457a152112c89a5b6
ENCSR825GWD	ENCFF551RFQ_ENCFF048PXH	human	sigmoid colon		OBI:0002571	polyA plus RNA-seq	Illumina HiSeq 2000	100	https://www.encodeproject.org/files/ENCFF551RFQ/@@download/ENCFF551RFQ.fastq.gz	ENCFF551RFQ.fastq.gz	s3://encode-public/2017/04/26/a9465957-c03d-4796-8a23-3b5b31958e4c/ENCFF551RFQ.fastq.gz	d8c365f167678e47135de55073c79089	https://www.encodeproject.org/files/ENCFF048PXH/@@download/ENCFF048PXH.fastq.gz	ENCFF048PXH.fastq.gz	s3://encode-public/2017/05/02/57e5df6b-a9cd-4a41-87ad-cecf194526f2/ENCFF048PXH.fastq.gz	c7c51432e5e4fff1c6d5c32879d91a8a
ENCSR825GWD	ENCFF461OOV_ENCFF264SYO	human	sigmoid colon		OBI:0002571	polyA plus RNA-seq	Illumina HiSeq 2000	100	https://www.encodeproject.org/files/ENCFF461OOV/@@download/ENCFF461OOV.fastq.gz	ENCFF461OOV.fastq.gz	s3://encode-public/2017/04/26/fba54dcc-939a-4fbd-bb14-db2607bced6d/ENCFF461OOV.fastq.gz	bfbd66793be9c94290418f37e7905b11	https://www.encodeproject.org/files/ENCFF264SYO/@@download/ENCFF264SYO.fastq.gz	ENCFF264SYO.fastq.gz	s3://encode-public/2017/05/02/282d1ea8-78d6-457e-abc1-a846b52c1d0b/ENCFF264SYO.fastq.gz	62c15ecf6cd38230d1304929352fcd74
ENCSR825GWD	ENCFF955XRW_ENCFF779XTM	human	sigmoid colon		OBI:0002571	polyA plus RNA-seq	Illumina HiSeq 2000	100	https://www.encodeproject.org/files/ENCFF955XRW/@@download/ENCFF955XRW.fastq.gz	ENCFF955XRW.fastq.gz	s3://encode-public/2017/04/26/6e34fe41-347e-48f1-a084-6e54f4a674df/ENCFF955XRW.fastq.gz	65ebd3f5e498f5f98e2d983c19fc50a6	https://www.encodeproject.org/files/ENCFF779XTM/@@download/ENCFF779XTM.fastq.gz	ENCFF779XTM.fastq.gz	s3://encode-public/2017/05/02/0bf6b9e6-4377-49a4-8f3c-81be8cb227fd/ENCFF779XTM.fastq.gz	5534c788cb2af4a61296680273f12f5c
ENCSR825GWD	ENCFF391LSK_ENCFF568AWP	human	sigmoid colon		OBI:0002571	polyA plus RNA-seq	Illumina HiSeq 2000	100	https://www.encodeproject.org/files/ENCFF391LSK/@@download/ENCFF391LSK.fastq.gz	ENCFF391LSK.fastq.gz	s3://encode-public/2017/04/26/1347dab6-8200-421b-a7da-41137acae9ec/ENCFF391LSK.fastq.gz	fc230aae6e8e513af4da4b1b5e956672	https://www.encodeproject.org/files/ENCFF568AWP/@@download/ENCFF568AWP.fastq.gz	ENCFF568AWP.fastq.gz	s3://encode-public/2017/05/02/99f005eb-98bf-44b0-a651-b2ae591a0fd3/ENCFF568AWP.fastq.gz	1e056cc9d5ac094a0349b2522073261a
ENCSR825GWD	ENCFF323UOZ_ENCFF202KKR	human	sigmoid colon		OBI:0002571	polyA plus RNA-seq	Illumina HiSeq 2000	100	https://www.encodeproject.org/files/ENCFF323UOZ/@@download/ENCFF323UOZ.fastq.gz	ENCFF323UOZ.fastq.gz	s3://encode-public/2017/04/26/87fd8d5f-c239-4aa1-b587-584104a43d19/ENCFF323UOZ.fastq.gz	b56add9bbdea4cafa80141fe3504dbb7	https://www.encodeproject.org/files/ENCFF202KKR/@@download/ENCFF202KKR.fastq.gz	ENCFF202KKR.fastq.gz	s3://encode-public/2017/05/02/207669c4-0ade-4e76-b531-03f88657abf4/ENCFF202KKR.fastq.gz	eccc967224609d84b75c847c667b8838
